carpeta,archivo,ruta,anio,tipo_acto,subtipo,vigente_ccyc,variables_detectadas,calidad_preset,observaciones,usar_como_preset
CESION BCO.PATAGONIA-CONST. MITRE,2017 - ADELANTO DE FONDOS Y CESION DE CERT. - CONSTRUCTORA MITRE - BCO. PATAGONIA (SUC. LUJAN) MARZO 2017.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION BCO.PATAGONIA-CONST. MITRE\2017 - ADELANTO DE FONDOS Y CESION DE CERT. - CONSTRUCTORA MITRE - BCO. PATAGONIA (SUC. LUJAN) MARZO 2017.docx,sin_fecha,Cesión de derechos de cobro,Adelanto de fondos sobre certificados de obras,True,"nombre_cedente, dni_cedente, fecha_nacimiento_cedente, estado_civil_cedente, domicilio_cedente, nombre_cesionario, dni_cesionario, razon_social_banco, cuit_banco, fecha_escritura, numero_escritura, provincia, notario_nombre, registro_notarial",media,Documento vigente conforme CCyC (art. 306). Falta completar párrafo final sobre los antecedentes societarios (truncado). Verificar correcta identificación de representantes y poder otorgado al banco para actuar.,si
CESION BCO.PATAGONIA-ENVICONTROL,ADELANTO ENVIROCONTROL S.A. -BCO. PATAGONIA(Facturas) (MARZO 2014) SUC. LUJAN (VALERI-COZZOLINO) ANTE PAULA.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION BCO.PATAGONIA-ENVICONTROL\ADELANTO ENVIROCONTROL S.A. -BCO. PATAGONIA(Facturas) (MARZO 2014) SUC. LUJAN (VALERI-COZZOLINO) ANTE PAULA.docx,sin_fecha,Adelanto de fondos y cesión de factura,Financiamiento con cesión de derechos crediticios,False,"nombre_notario, numero_protocolo, fecha_acto, nombre_apoderado_1, dni_apoderado_1, nombre_apoderado_2, dni_apoderado_2, domicilio_apoderados, nombre_apoderado_3, dni_apoderado_3, domicilio_apoderado_3, nombre_banco, cuit_banco, fecha_fusión, escribano_fusión, numero_inscripcion_igj_fusión, fecha_cambio_denominacion, numero_inscripcion_igj_denominacion, fecha_modificacion_estatuto, numero_inscripcion_igj_estatuto",baja,"Documento redactado bajo Código Civil de Vélez (1869), no utiliza referencias al CCyC 2015. El acto se encuentra incompleto (corta abruptamente en párrafo final sobre poderes) y requiere revisión integral para actualización normativa.",no
CESION BCO.PATAGONIA-MAGMA,NOTA AUTORIZAR PAGO HONORARIOS (MAGMA) (SEPT. 2017).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION BCO.PATAGONIA-MAGMA\NOTA AUTORIZAR PAGO HONORARIOS (MAGMA) (SEPT. 2017).docx,2017,Autorización de débito bancario,Para pago de honorarios notariales,True,"fecha_documento, nombre_banco, sucursal_banco, numero_cuenta_corriente, nombre_empresa, domicilio_empresa, departamento, provincia, cuit_empresa, numero_factura, fecha_factura, monto_factura, tipo_cuenta_acreedor, nombre_escribano, numero_cuenta_acreedor, firma_autorizante, aclaracion_firma, caracter_firmante",media,El documento mezcla formato de carta comercial con acto notarial sin claridad sobre su naturaleza jurídica. Presenta inconsistencia: factura de 2017 pero solicitud de 2025 (verificar vigencia de deuda y plazos de prescripción).,si
CESION BCO.PATAGONIA-MAREF,NOTIYPF-MAREF  (3-10-2017) FACTURA.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION BCO.PATAGONIA-MAREF\NOTIYPF-MAREF  (3-10-2017) FACTURA.docx,sin_fecha,Notificación de Cesión de Factura,con adelanto de fondos y constitución de prenda,True,"fecha_acta, hora_acta, domicilio_notificado, nombre_representante, dni_representante, numero_factura, fecha_factura, concepto_factura, fecha_recepcion, monto_factura, moneda, numero_escritura_cesion, fecha_escritura_cesion, fojas_protocolo, registro_numero, nombre_banco_cesionario, cuit_banco, domicilio_banco, nombre_deudor_cedente, cuit_deudor, domicilio_deudor, nombre_tercero_notificado, cuit_tercero",media,"El documento está incompleto (corte en la última línea) y contiene lenguaje híbrido entre Código Vélez y CCyC. Necesita: completar texto faltante, actualizar referencias a derechos reales de prenda conforme arts. 2208-2236 CCyC, y revisar redacción de reservas de derechos del deudor original.",si
CESION BCO.PATAGONIA-MEDIOS S.A. Y OTROS,NOTA AUTORIZAR PAGO HONORARIOS - MEDIOS (MAYO 2016).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION BCO.PATAGONIA-MEDIOS S.A. Y OTROS\NOTA AUTORIZAR PAGO HONORARIOS - MEDIOS (MAYO 2016).docx,2016,Autorización de débito bancario,para pago de honorarios de escribano,True,"nombre_banco, sucursal_banco, numero_cuenta_deudora, titular_cuenta, cuit_empresa, domicilio_empresa, numero_factura, fecha_factura, monto_pago, nombre_escribano, cuenta_corriente_escribano, fecha_documento, localidad, provincia",media,"Documento funcional pero con inconsistencias: la factura es de 2016 pero se presenta en 2025 (posible error de datos). Faltan datos del firmante (DNI, carácter/condición del que autoriza). Se recomienda verificar vigencia de la factura y aclarar si es autorización permanente o única.",si
CESION BCO.PATAGONIA-METAL 1 S.A,TESTIMONIO-CESION METAL 1-BCO.PATAGONIA.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION BCO.PATAGONIA-METAL 1 S.A\TESTIMONIO-CESION METAL 1-BCO.PATAGONIA.docx,sin_fecha,Cesión de derechos,cesión de derechos por deuda,False,"nombres_comparecientes, dni_comparecientes, domicilios, denominacion_banco, cuit_banco, denominacion_deudor, cuit_deudor, numero_escritura, fecha_escritura, numero_poder_especial, fecha_poder_especial, numero_constitucion_social, fecha_constitucion_social",baja,"Documento incompleto (corte abrupto en párrafo final), redacción arcaica anterior a CCyC 2015 (Código de Vélez). Requiere actualización de lenguaje, referencias al CCyC arts. 267-275, y completación de cláusulas esenciales sobre objeto de la cesión, efectos y garantías.",no
CESION BCO.PATAGONIA-MYA TEC. QUIRURG,PERSONERÍA MY T TECNOLOGIA QUIRURGICA.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION BCO.PATAGONIA-MYA TEC. QUIRURG\PERSONERÍA MY T TECNOLOGIA QUIRURGICA.docx,sin_fecha,Hipoteca,Constitución de hipoteca con representación,True,"nombre_hipotecante_1, dni_hipotecante_1, cuil_hipotecante_1, estado_civil_hipotecante_1, nombre_hipotecante_2, dni_hipotecante_2, cuil_hipotecante_2, estado_civil_hipotecante_2, domicilio_hipotecantes, localidad, provincia, nombre_deudor, cuit_deudor, domicilio_deudor, numero_poder, fecha_poder, escribana, fojas_poder, registro_notarial, numero_inscripcion_mandatos, fojas_inscripcion, tomo_inscripcion",media,"El documento es válido conforme CCyC pero contiene redundancias en la identificación de partes (se repiten dos veces los mismos datos). Falta información sobre el bien hipotecado, monto del crédito y plazo.",si
CESION BCO.PATAGONIA-NEXOR CUYO-CAPSA UTE,NEXOR CUYO CAPSA UTE-BCO. PATAGONIA(Adelanto de Fondos y Cesion de certificado) (NOV. 2013) MARTINEZ-ESTEBAN.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION BCO.PATAGONIA-NEXOR CUYO-CAPSA UTE\NEXOR CUYO CAPSA UTE-BCO. PATAGONIA(Adelanto de Fondos y Cesion de certificado) (NOV. 2013) MARTINEZ-ESTEBAN.docx,sin_fecha,Adelanto de fondos y cesión de certificado,Operación comercial entre empresas constructoras y banco,False,"nombres_representantes, dni_representantes, estado_civil, domicilios, nombre_empresa_cedente, nombre_banco, cuit, fecha_acto, numero_escritura, protocolo, notario, registro_notarial, datos_fusion_bancaria, fechas_inscripciones_igj",baja,"Documento de 2013 utiliza referencias del Código Civil de Vélez Sársfield (art. 1.002); requiere actualización integral a normativa CCyC 2015 en identificación de partes, representación y requisitos formales. Documento incompleto (cortado al final).",no
CESION BCO.PATAGONIA-R.G.ING,CESION BCO. PATAGONIA-RG ING. Y COMPUTACION SRL(Adelanto de Fondos y Facturas)JUNIO 2011.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION BCO.PATAGONIA-R.G.ING\CESION BCO. PATAGONIA-RG ING. Y COMPUTACION SRL(Adelanto de Fondos y Facturas)JUNIO 2011.docx,sin_fecha,Adelanto de fondos y cesión de factura,Entre empresa y banco,False,"nombres_comparecientes, numeros_dni, domicilios, razon_social_empresa, cuit_empresa, cuit_banco, numero_escritura, fecha_otorgamiento, numero_poder_especial, fecha_poder, escribano_autorizante, registro_notarial, monto_adelanto, numero_factura, fecha_factura, plazo_reembolso",baja,"Documento redactado bajo Código Civil de Vélez (referencias al art. 1.002), incompleto (corte abrupto al final). Requiere adecuación al CCyC 2015 en estructura, terminología y cláusulas sustantivas.",no
CESION BCO.PATAGONIA-REDCORDOBA,2018 - NOTIYPF-RED CORDOBA (AGSOTO 2018) FACTURAS.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION BCO.PATAGONIA-REDCORDOBA\2018 - NOTIYPF-RED CORDOBA (AGSOTO 2018) FACTURAS.docx,2018,Notificación de Cesión de Facturas,Notificación de cesión de créditos (facturas comerciales),True,"fecha_notificacion, lugar_notificacion, nombre_receptor, dni_receptor, domicilio_receptor, nombre_cedente, cuit_cedente, domicilio_cedente, nombre_cesionario, cuit_cesionario, domicilio_cesionario, numero_escritura_cesion, fecha_escritura_cesion, fojas_protocolo, numero_registro, numero_factura_1, fecha_factura_1, monto_factura_1, numero_factura_2, fecha_factura_2, monto_factura_2, numero_factura_3, fecha_factura_3, monto_factura_3, numero_factura_4, fecha_factura_4, monto_factura_4, monto_total_cedido",media,El documento está incompleto (se corta abruptamente en la cláusula de reserva de derechos). Requiere completar la redacción final y verificar que las referencias a la escritura de cesión previa sean precisas conforme arts. 1444-1452 CCyC (cesión de créditos).,si
CESION BCO.PATAGONIA-SERV. PINSAN,NOTA AUTORIZAR PAGO HONORARIOS (SERV. PINSAN) NOV. 2017).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION BCO.PATAGONIA-SERV. PINSAN\NOTA AUTORIZAR PAGO HONORARIOS (SERV. PINSAN) NOV. 2017).docx,2018,Autorización de débito bancario,Para pago de honorarios escribanía,True,"fecha_documento, nombre_banco, sucursal_banco, numero_cuenta_corriente, nombre_empresa, domicilio_empresa, distrito, departamento, provincia, cuit_empresa, numero_factura, fecha_factura, monto_pago, nombre_escribano, numero_caja_ahorro",media,"Contiene errores de tipeo ('Mendo' por 'Mendoza') y factura con fecha antigua (2018) que generaría dudas sobre prescripción. Faltan espacios de firma, aclaración y carácter del firmante. Revisar datos bancarios antes de usar.",si
CESION BCO.PATAGONIA-SERVICIOS CHIVAS SA,CESION_SERVICIOS CHIVAS SA-BCO. PATAGONIA(Adelanto de Fondos y Facturas (MAYO 2013)SUC. LUJAN.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION BCO.PATAGONIA-SERVICIOS CHIVAS SA\CESION_SERVICIOS CHIVAS SA-BCO. PATAGONIA(Adelanto de Fondos y Facturas (MAYO 2013)SUC. LUJAN.docx,sin_fecha,Adelanto de fondos y cesión de factura,Servicios comerciales - Operación bancaria,False,"nombres_apoderados, dni_apoderados, estado_civil_apoderados, domicilio_apoderados, razon_social_banco, cuit_banco, fecha_escritura, numero_escritura, protocolo_notario, nombre_notario, numero_registro_notario, ciudad_provincia, referencias_escrituras_previas, numero_folio_registro, inspector_general_justicia",media,Documento anterior al CCyC 2015 (2013). Requiere actualización de referencias legales al artículo 1002 inciso c) del CCyC vigente; revisar que el poder especial cumpla con requisitos actuales del código.,no
CESION BCO.PATAGONIA-TECNASIG SRL,Instrucción de transferencia interna (WYNNE )NOV. 2014.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION BCO.PATAGONIA-TECNASIG SRL\Instrucción de transferencia interna (WYNNE )NOV. 2014.docx,sin_fecha,Instrucción de transferencia interna,Transferencia bancaria entre cuentas,False,"fecha, nombre_banco, sucursal_banco, monto_transferencia, titular_cuenta_origen, sucursal_origen, tipo_cuenta_origen, numero_cuenta_origen, subcuenta_origen, titular_cuenta_destino, sucursal_destino, tipo_cuenta_destino, numero_cuenta_destino, subcuenta_destino, nombre_firmante, carácter_firmante, tipo_documento, numero_documento",baja,Documento anterior a CCyC 2015 (fechado noviembre 2014). Lenguaje y estructura desfasados; no es un acto notarial sino una instrucción administrativa bancaria. No debe utilizarse como plantilla en materia notarial.,no
CESION BCO.PATAGONIA-ULTIMA MILLA,Instrucción de transferencia interna (ULTIMA MILLA) NOV. 2015.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION BCO.PATAGONIA-ULTIMA MILLA\Instrucción de transferencia interna (ULTIMA MILLA) NOV. 2015.docx,sin_fecha,Instrucción de transferencia bancaria,Transferencia interna entre cuentas,False,"fecha, nombre_banco, numero_sucursal, monto_transferencia, titular_cuenta_origen, sucursal_origen, tipo_cuenta_origen, numero_cuenta_origen, subcuenta_origen, titular_cuenta_destino, sucursal_destino, tipo_cuenta_destino, numero_cuenta_destino, subcuenta_destino, nombre_solicitante, caracter_solicitante, tipo_documento, numero_documento",baja,"Este no es un acto notarial sino un documento bancario administrativo. Carece de requisitos esenciales de actos notariales (protocolo, número de acta, intervención de escribano, autenticación).",no
CESION BCO.PATAGONIA-WYNNE,WYNNE INDUSTRIAL SRL-BCO. PATAGONIA(Adelanto de Fondos y Cesion de certificado) (OCT. 2013) IPV - COZZOLINO-ORIOLANI.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION BCO.PATAGONIA-WYNNE\WYNNE INDUSTRIAL SRL-BCO. PATAGONIA(Adelanto de Fondos y Cesion de certificado) (OCT. 2013) IPV - COZZOLINO-ORIOLANI.docx,sin_fecha,Adelanto de fondos y cesión de certificado,Entre empresa y banco,False,"nombres_apoderados, DNI_apoderados, domicilio_apoderados, razon_social_empresa, nombre_banco, CUIT_banco, fecha_otorgamiento, numero_escritura, ciudad_notaria, numero_registro_notario, datos_poder_especial, datos_fusion_bancaria",baja,"Documento de 2013 redactado conforme Código Civil de Vélez. Requiere actualización integral a lenguaje y estructura del CCyC 2015 (capacidad, representación, obligaciones). Texto incompleto al final (corte abrupto).",no
CESION BNA - BRIZUELA Y VILLAFAÑE,RESOLUCION  DE  SOLICITUDES  DE  PRÉSTAMOS.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION BNA - BRIZUELA Y VILLAFAÑE\RESOLUCION  DE  SOLICITUDES  DE  PRÉSTAMOS.docx,2021,Resolución de Préstamo - Cesión de Créditos,Descuento de Certificado de Obra con garantía de Certificado de Obra público,True,"nombre_empresa, legajo_unico, cuenta_corriente, importe_prestamo, fecha_resolucion, numero_certificado_obra, fecha_certificado, fecha_contrato_locacion, municipalidad, descripcion_obra, numero_expediente_municipal, numero_licitacion, numero_decreto, monto_certificado_garantia, plazo_dias, fecha_vencimiento_operacion, porcentaje_financiamiento, cuenta_corriente_debitos",baja,"Documento administrativo-bancario de uso interno, NO es un acto notarial. Carece de solemnidades requeridas (firma de escribano, comparecencia de partes, protocolo). Mezcla normas del CCyC con régimen especial de obras públicas (Ley 4.416) sin instrumentación notarial clara.",no
CESION CREDITO FISCAL TASSAROLI S.A,2019 - NOTIFICACIÓN - ATM (TASSAROLI - LAB. BIOFARMA (NOV. 2019).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION CREDITO FISCAL TASSAROLI S.A\2019 - NOTIFICACIÓN - ATM (TASSAROLI - LAB. BIOFARMA (NOV. 2019).docx,2019,Cesión de Crédito Fiscal,por resolución de concurso público de inversión estratégica,True,"nombre_apoderado, dni_apoderado, cuit_apoderado, nombre_mandante, cuit_mandante, domicilio_mandante, nombre_cesionario, cuit_cesionario, domicilio_cesionario, monto_cesion, monto_total_credito, numero_expediente, numero_escritura, fecha_escritura, escribano, registro_notarial",media,Documento administrativo notarialmente certificado; requiere actualización de referencias normativas tributarias según normativa vigente y verificación de formato conforme requisitos de la Administración Tributaria Mendoza. Presenta estructura híbrida entre acto notarial y trámite administrativo.,si
CESION DE ACCIONES DE S.A,2017 - ult  vers  COTTAGGE DE LOS ANDES - CESION DE ACCIONES ( JUNIO 2017) -modificado 2.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION DE ACCIONES DE S.A\2017 - ult  vers  COTTAGGE DE LOS ANDES - CESION DE ACCIONES ( JUNIO 2017) -modificado 2.docx,2017,Cesión de acciones,de sociedad anónima,True,"fecha_otorgamiento, nombre_cedentes, dni_cedentes, cuit_cedentes, fecha_nacimiento_cedentes, estado_civil_cedentes, domicilio_cedentes, nombre_cesionarios, dni_cesionarios, cuit_cesionarios, fecha_nacimiento_cesionarios, domicilio_cesionarios, razon_social_sociedad, porcentaje_acciones, numero_escritura_constitucion, fecha_constitucion, numero_resolucion_inscripcion, numero_inscripcion_pj, numero_registro_comercio",media,"El documento está incompleto (se corta al final en la descripción del registro). Requiere revisión de la cláusula dispositiva, considerandos finales y debe actualizarse la referencia a CUIT/L por CUIT conforme normativa actual del CCyC.",si
CESION DE CHEQUES,MODELO NUEVO CESION DE CHEQUES (no a la  orden)RR.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION DE CHEQUES\MODELO NUEVO CESION DE CHEQUES (no a la  orden)RR.docx,sin_fecha,Cesión de derechos,Cesión de cheque,False,"nombre_cedente, dni_cedente, domicilio_cedente, banco_librador, serie_cheque, numero_cheque, monto_cheque, fecha_vencimiento, cuenta_numero, titular_cuenta, fecha_documento, lugar_firma",baja,"El documento utiliza lenguaje y estructura anterior al CCyC 2015. Requiere actualización de redacción, aclaraciones sobre representación del cedente, inclusión de cláusulas sobre mora y responsabilidad conforme al CCyC (art. 1635 y ss.), y especificación correcta de la garantía de legitimidad del crédito.",no
CESION DE DCHOS. HEREDITARIOS,OFERTA DE DONACION-Collazo (DIC. 2008).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION DE DCHOS. HEREDITARIOS\OFERTA DE DONACION-Collazo (DIC. 2008).docx,sin_fecha,Oferta de Donación,De nuda propiedad de inmueble en propiedad horizontal,False,"nombre_donante, dni_donante, cuil_donante, estado_civil_donante, nombre_donatario, dni_donatario, domicilio_donatario, descripcion_inmueble, numero_unidad, superficie_cubierta_propia, superficie_comun, porcentaje_dominio, numero_escritura_origen, fecha_escritura_origen, registro_propiedad_numero, fecha_acto, notario_nombre, numero_registro_notarial",baja,Documento anterior a CCyC 2015 (referencias a Código Civil de Vélez). Requiere actualización normativa conforme CCyC (arts. 1542-1555 sobre donaciones) y modernización de lenguaje notarial. El acto aparece incompleto (texto cortado al final).,no
CESION DE DCHOS. Y ACCIONES,2021 - CESION DER Y ACC  - TOHME (MARZO 2021).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION DE DCHOS. Y ACCIONES\2021 - CESION DER Y ACC  - TOHME (MARZO 2021).docx,2019,Cesión de derechos y acciones,sobre inmueble (lote residencial),True,"nombre_cedente, cuit_cedente, domicilio_cedente, numero_legajo_registro, apoderado_nombre, apoderado_dni, fecha_nacimiento_apoderado, numero_poder, fecha_poder, notario_poder, nombre_cesionario, dni_cesionario, cuit_cesionario, fecha_nacimiento_cesionario, domicilio_cesionario, fecha_convenio_original, fecha_adenda, fecha_anexo, nombre_contraparte_original, ubicacion_inmueble, numero_lote, numero_manzana, distrito, departamento, provincia, calle_numero, superficie_metros, numero_matricula, agrimensor, fecha_mensura, numero_catastro, nomenclatura_catastral, padron_territorial, padron_municipal, avaluo_fiscal, ano_avaluo, precio_cesion, moneda_precio, limites_norte, limites_sur, limites_este, limites_oeste",media,Documento incompleto (se corta en cláusula Segunda). Requiere revisión de conformidad con arts. 1434-1443 CCyC sobre obligaciones del cedente y cesionario; verificar si la cesión requiere inscripción registral del inmueble.,si
CESION DE FACTURA-TEXTO,Cesión factura-VITALE MARIN.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION DE FACTURA-TEXTO\Cesión factura-VITALE MARIN.docx,2021,Cesión de derechos,Cesión de factura electrónica,True,"nombre_cedente, dni_cedente, cuit_cedente, fecha_nacimiento_cedente, estado_civil_cedente, domicilio_cedente, nombre_cesionario, dni_cesionario, cuit_cesionario, estado_civil_cesionario, domicilio_cesionario, numero_factura, fecha_factura, fecha_escritura",media,"Documento claro y conforme al CCyC. Falta especificar la naturaleza del derecho cedido (acreencia, deuda, etc.) y su monto. Recomendable ampliar descripción de la factura (emisor, concepto, importe).",si
CESION DE PAGLIARA,CESION PAGLIARA_BCO.NACION (NOVIEMBRE 2008)(FIRMA PRETE).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION DE PAGLIARA\CESION PAGLIARA_BCO.NACION (NOVIEMBRE 2008)(FIRMA PRETE).docx,sin_fecha,Cesión de créditos,Cesión en garantía de derechos de cobro de certificado de obra pública,False,"número_escritura, día_mes_año, nombre_notario, registro_notarial, nombre_apoderado_acreedor, documento_apoderado_acreedor, domicilio_apoderado, nombre_apoderado_deudor, documento_apoderado_deudor, domicilio_deudor, nombre_banco_acreedor, cuit_banco, nombre_sociedad_deudor, escritura_poder_acreedor_numero, escritura_poder_acreedor_fecha, escribano_poder_acreedor, registro_poder_acreedor, escritura_poder_deudor_numero, escritura_poder_deudor_fecha, escribano_poder_deudor, registro_poder_deudor",baja,"Documento incompleto (truncado al final) y redactado bajo normativa anterior al CCyC 2015 (lenguaje de Código de Vélez: Libreta de Enrolamiento, referencias arcaicas). Requiere actualización a DNI/CUIT, lenguaje moderno del CCyC y completitud del texto.",no
CESION FACTURAS,CESION FACTURA-DALVIAN S.A. - FLIGUER (ENERO 2014).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION FACTURAS\CESION FACTURA-DALVIAN S.A. - FLIGUER (ENERO 2014).docx,sin_fecha,Cesión de derechos,Cesión de crédito por factura,False,"nombre_cedente, razon_social_cedente, nombre_cesionario, nacionalidad_cesionario, dni_cesionario, tipo_factura, numero_factura, fecha_factura, acreedor_original, descripcion_unidad, lugar_otorgamiento, fecha_otorgamiento, nombre_representante, cargo_representante",baja,"Documento anterior al CCyC 2015. Falta formalidad notarial, consentimiento expreso del deudor, descripción completa de la unidad, y no contiene las solemnidades requeridas (firma del cesionario, reconocimiento de firma ante escribano). Requiere redacción conforme al art. 1434 CCyC.",no
CESION FACTURAS - BCO. CIUDAD,2016 - NOTIYPF-NN- BCO. CIUDAD (SEPT. 2016) FACT..docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION FACTURAS - BCO. CIUDAD\2016 - NOTIYPF-NN- BCO. CIUDAD (SEPT. 2016) FACT..docx,sin_fecha,Notificación de Cesión de Factura,Notificación de adelanto de fondos y cesión de factura comercial,True,"fecha_completa, hora, nombre_representante, dni_representante, numero_factura, fecha_factura, concepto_factura, numero_contrato, numero_certificado, monto_pesos, numero_escritura, fecha_escritura, fojas_protocolo, numero_registro, nombre_banco_acreedor, cuit_banco, domicilio_banco, nombre_empresa_deudora, cuit_empresa_deudora, plazo_dias_notificacion",media,El documento está incompleto (corte al final en QUINTO) y contiene espacios en blanco sin información. Requiere completar todas las variables identificadas y revisar la redacción de las reservas de derechos (puntos PRIMERO a QUINTO) para alinearse completamente con la terminología del CCyC 2015 respecto de cesión de créditos.,si
CESION SABATINO-TONELO-BCO.PATAGONIA Y NACION,MUTUOCESION.CON.CLAUSULA.FIANZA.BCO.PATAGONIA.SABATINO.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION SABATINO-TONELO-BCO.PATAGONIA Y NACION\MUTUOCESION.CON.CLAUSULA.FIANZA.BCO.PATAGONIA.SABATINO.docx,sin_fecha,Contrato de Mutuo y Cesión de Certificados de Obra,Mutuo con garantía de cesión de certificados,False,"nombres_apoderados, dni_apoderados, domicilio_apoderados, nombre_banco_acreedor, cuit_banco, nombres_deudores, dni_deudores, domicilio_deudores, cuit_deudor, numero_escritura, fecha_escritura, referencia_poder_especial, numero_inscripcion_mandato",baja,"Documento redactado bajo el Código de Vélez (pre-2015), con estructura y lenguaje notarial obsoleto. Requiere actualización integral al CCyC: modificar conceptos de capacidad/habilidad, referencias a dominio de actos jurídicos, y eliminar arcaísmos procesales.",no
CESION STORNINI - BCO.PATAGONIA,Stornini SA - Requerimiento y Notificación (DIC. 2013).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION STORNINI - BCO.PATAGONIA\Stornini SA - Requerimiento y Notificación (DIC. 2013).docx,sin_fecha,Acta de Constatación y Notificación,A solicitud de Banco Patagonia S.A. - Presentación de notas ante organismo público,False,"número_escritura, fecha_día, mes_año, nombre_notario, registro_notarial, nombre_apoderado_1, dni_apoderado_1, estado_civil_apoderado_1, nombre_apoderado_2, dni_apoderado_2, estado_civil_apoderado_2, domicilio_apoderado_2, nombre_banco, cuit_banco, domicilio_banco, número_poder_1, fecha_poder_1, escribano_poder_1, número_registro_poder_1, fojas_poder_1, legalizacion_poder_1, numero_inscripcion_poder_1, fecha_inscripcion_poder_1, número_poder_2, fecha_poder_2, escribano_poder_2, número_registro_poder_2, fojas_poder_2, legalizacion_poder_2, numero_inscripcion_poder_2, fecha_inscripcion_poder_2, organismo_destinatario, ministerio_provincia",baja,"Documento incompleto (corta abruptamente en la segunda mitad). Redacción anterior al CCyC (referencias a art. 1.002 Código Civil Vélez, formas arcaicas). Requiere actualización a lenguaje vigente del CCyC 2015 y completar la parte final del acta.",no
CESION TOMIO-BCO.PATAGONIA,CESION-OCTUBRE-2009.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\CESION TOMIO-BCO.PATAGONIA\CESION-OCTUBRE-2009.docx,sin_fecha,Cesión de derechos,Cesión de derechos sobre facturas entre sociedades,False,"folio, número_escritura, fecha_acto, ciudad, nombre_apoderado_cedente, DNI_apoderado_cedente, fecha_nacimiento_apoderado_cedente, domicilio_apoderado_cedente, nombre_apoderada_1_cesionario, DNI_apoderada_1, fecha_nacimiento_apoderada_1, nombre_apoderada_2_cesionario, DNI_apoderada_2, fecha_nacimiento_apoderada_2, domicilio_apoderadas, nombre_sociedad_cedente, domicilio_sociedad_cedente, CUIT_cedente, número_poder_cedente, fecha_poder_cedente, escribana_poder_cedente, número_registro_sociedad_cedente, nombre_sociedad_cesionario, domicilio_sociedad_cesionario, CUIT_cesionario, CBU_cesionario, banco_cesionario, número_poder_cesionario, fecha_poder_cesionario, escribana_poder_cesionario",baja,"Documento redactado bajo Código de Vélez (2009), anterior al CCyC 2015. Requiere actualización integral de lenguaje, estructura de comparecientes y terminología para adecuarse a vigencia actual (arts. 1434-1440 CCyC sobre cesión de créditos).",no
